,Cluster,Pollution_PC,Species_PC,R_squared,P_value,Slope,Intercept,Std_Error,N_sites,Species_PC_Variance
47,1,PC2,PC4,0.08489713131543425,0.14032511551091487,0.0654649802407191,0.005092561909213255,0.04298604483969311,27,9.163347494346894
48,1,PC4,PC4,0.05957506236104859,0.2198508443655245,0.04737122892862951,-0.012870009863451364,0.03764215363321882,27,9.163347494346894
49,1,PC2,PC5,0.058855814582545636,0.22274379910906478,0.049214377108270584,0.0038284172900634604,0.039360026548277006,27,7.4700532947390546
50,1,PC1,PC2,0.04483789656107064,0.2890073831456127,0.04641359573409059,0.015594032998651634,0.04284411112987631,27,18.68263683621058
51,1,PC5,PC2,0.04146158659005512,0.3083433132469948,-0.05424188030210459,0.0029715174480235175,0.05216107509795213,27,18.68263683621058
52,1,PC4,PC3,0.0401917452113945,0.31602856215316444,-0.04505538444950203,0.01224083173228036,0.04403525377625242,27,12.28700100451041
53,1,PC3,PC3,0.03974113976026464,0.3188132982447815,-0.06888243301853567,-0.007948548707490583,0.06771930254806206,27,12.28700100451041
54,1,PC6,PC3,0.032390973710741205,0.3690298466372165,0.03748028232236595,0.011548152146876486,0.04097045649727346,27,12.28700100451041
55,1,PC5,PC3,0.031245646047323942,0.37777289608094566,-0.03818654731321953,0.0020919627230659493,0.04252579759922418,27,12.28700100451041
56,1,PC4,PC5,0.029435283848351,0.39217723761740986,0.030064313040758513,-0.008167995936001746,0.0345270454038909,27,7.4700532947390546
57,1,PC5,PC5,0.026219720416155185,0.4197126450846965,-0.027275239323620783,0.0014942116515457527,0.03324413406202065,27,7.4700532947390546
58,1,PC3,PC4,0.02424641383133939,0.438003409205702,0.046463958555398845,0.005361614297523901,0.05895118295470651,27,9.163347494346894
59,1,PC5,PC4,0.01997760897032768,0.481915109202645,-0.0263688702869579,0.0014445582952869345,0.03693752265185193,27,9.163347494346894
60,1,PC2,PC3,0.019239851586131493,0.4902011479356403,-0.03608770474442501,-0.002807285206481774,0.05153114626565198,27,12.28700100451041
61,1,PC3,PC1,0.010043392736790592,0.6189381576134794,-0.048656853475759355,-0.005614658961033457,0.09661440259963913,27,24.25922098903067
62,1,PC3,PC5,0.009878251893225463,0.6218505636940042,0.026777330001946337,0.003089915707822677,0.053616877501787,27,7.4700532947390546
63,1,PC3,PC2,0.00734087697326259,0.6708969858165289,0.03650551093780056,0.004212479424222076,0.08490133578964079,27,18.68263683621058
64,1,PC2,PC2,0.006926039838234367,0.6798313214370244,0.02669912531239884,0.002076941718691008,0.0639403977973756,27,18.68263683621058
65,1,PC1,PC4,0.0051060777687783,0.7232007205405,0.010969183572910365,0.003685424667035542,0.03062308759413529,27,9.163347494346894
66,1,PC6,PC2,0.004608448824816115,0.7365385063127042,-0.017432688718283407,-0.005371233330538226,0.051240571102442456,27,18.68263683621058
67,1,PC1,PC5,0.0026989694753338776,0.7969097897097657,-0.007200528115090825,-0.0024192323662606038,0.027682703018976917,27,7.4700532947390546
68,1,PC6,PC1,0.0024212802628188258,0.807437413928735,-0.014398884935095514,-0.004436479761429811,0.0584534183879203,27,24.25922098903067
69,1,PC6,PC4,0.00017972633349432946,0.9470854639130022,0.002411020151787337,0.0007428660035842762,0.03596548722759809,27,9.163347494346894
70,1,PC4,PC2,0.00017410299930912667,0.9479187235553634,-0.0036566006569636327,0.0009934402713665362,0.05542000911910076,27,18.68263683621058
71,1,PC1,PC3,5.6672020861876275e-05,0.9702725069762406,-0.0013381685245460607,-0.00044959766205317366,0.03555037203189218,27,12.28700100451041
